question_id,system,answer,confidence_score,support_rate,context_truncated,correct
1,baseline,"**SQL injection (SQLi)** is a web‑application vulnerability that occurs when an attacker supplies untrusted input that is incorporated directly into a SQL query without proper sanitisation. Because the input is treated as part of the query’s code, the attacker can alter the query’s logic, causing the database to return, modify, or delete data, or even execute administrative or operating‑system commands.

Key points:

| Aspect | Details |
|--------|---------|
| **How it works** | User input is concatenated into a SQL statement (e.g., `SELECT * FROM users WHERE username = '` + input + `'`). If the input contains SQL syntax such as `' OR '1'='1`, the query’s logic is changed. |
| **Typical payload** | `'; DROP TABLE users; --` or `1' OR '1'='1`. |
| **Consequences** | • Read, modify, or delete data<br>• Bypass authentication<br>• Execute administrative operations<br>• In some cases, trigger OS commands via database features |
| **Types** | 1. **In‑band** – data returned in the same channel (Error‑based, Union‑based).<br>2. **Blind (inferential)** – no data returned; attacker infers information from application responses (Boolean‑based, Time‑based).<br>3. **Out‑of‑band** – uses separate channels (e.g., DNS or HTTP requests) to receive data. |
| **Prevention** | • Use parameterised queries / prepared statements.<br>• Employ stored procedures that separate data from code.<br>• Validate and whitelist input.<br>• Apply least‑privilege to database accounts.<br>• Deploy Web Application Firewalls (WAFs).<br>• Conduct regular security audits and penetration testing. |

SQL injection remains one of the most common and dangerous web‑application vulnerabilities, consistently listed in the OWASP Top 10.",46.49,0.7272727272727273,False,1
2,baseline,"SQL injection (SQLi) happens when a web application takes user‑supplied data and inserts it directly into a SQL statement without properly sanitising or parameterising that data. Because the database engine treats the entire string as part of the query, an attacker can add or alter SQL clauses, change the logic of the statement, or append new commands.  

**Typical flow**

1. **User input** – The attacker supplies data through a form field, URL parameter, cookie, or any other input vector.  
2. **Application builds a query** – The code concatenates the raw input into a SQL string, e.g.  
   ```sql
   SELECT * FROM users WHERE username = '$user' AND password = '$pass';
   ```  
3. **Database executes the query** – The database parses the whole string as SQL. If the input contains characters like `'`, `;`, `--`, or `OR 1=1`, the query’s logic is altered.  
4. **Result** – The attacker can bypass authentication, read, modify, or delete data, or even run administrative commands.

**Why it works**

- **No input validation or escaping** – The application does not check that the data matches an expected format (e.g., only alphanumeric usernames).  
- **No parameterised queries** – Prepared statements or stored procedures that separate data from code are not used.  
- **Direct string concatenation** – The raw input is embedded into the SQL string, so any SQL syntax the attacker injects becomes part of the executed query.

**Example of a vulnerable login form**

```php
$username = $_POST['username'];
$password = $_POST['password'];
$sql = ""SELECT * FROM users WHERE username='$username' AND password='$password'"";
```

If the attacker submits `admin' --` as the username, the query becomes:

```sql
SELECT * FROM users WHERE username='admin' --' AND password='...'
```

The `--` starts a comment, so the password check is ignored, allowing the attacker to log in as `admin`.

**Bottom line**

SQL injection occurs when user input is incorporated into SQL statements without proper sanitisation or parameterisation, allowing attackers to manipulate the query logic and gain unauthorized access to or control over the database.",49.72,0.9285714285714286,False,1
3,baseline,"The three main types of SQL injection are:

1. **In‑band SQLi** – The attacker uses the same channel to both launch the attack and receive the results.  
   *Sub‑types:* Error‑based SQLi and Union‑based SQLi.

2. **Inferential (Blind) SQLi** – No data is directly returned through the web application; the attacker infers information by observing the application's responses.  
   *Sub‑types:* Boolean‑based blind SQLi and Time‑based blind SQLi.

3. **Out‑of‑band SQLi** – The attack and data retrieval occur over separate channels, typically relying on database features that allow external communication (e.g., sending data via DNS or HTTP requests).",52.89,0.8333333333333334,False,1
4,baseline,"Input validation is a first‑line, application‑level defense that stops malicious data from ever reaching the database query engine.  
When a web application accepts user‑supplied values, those values can be crafted to alter the structure of an SQL statement (e.g., `'; DROP TABLE users;--`). If the application blindly concatenates the value into a query string, the database will interpret the injected text as part of the SQL command and execute it.  

By validating input before it is used, the application can:

1. **Enforce a strict format** – only allow characters, lengths, and patterns that are expected for a given field (e.g., numeric IDs, email addresses, hostnames).  
2. **Reject or neutralize dangerous tokens** – strip or reject characters that have special meaning in SQL (`'`, `;`, `--`, etc.) or in the shell (`|`, `&&`, `$()`).  
3. **Reduce the attack surface** – if only a narrow, well‑defined set of values can be supplied, the attacker has no opportunity to inject arbitrary SQL fragments.  

When combined with other controls such as parameterised queries, least‑privilege database accounts, and WAFs, input validation forms a critical layer that prevents malformed or malicious data from ever forming part of an executable SQL statement.  

*Gap:* The provided sources describe the importance of validation but do not list specific validation patterns or libraries; best practice is to use whitelisting (allow‑list) rather than blacklisting (block‑list) of characters.",46.91,0.7777777777777778,False,1
5,baseline,"**Key prevention strategies for SQL injection**

| Strategy | What it does | Practical example |
|----------|--------------|-------------------|
| **Use parameterised queries / prepared statements** | Separates data from code so user input can’t alter SQL syntax. | In PHP: `mysqli_prepare($conn, ""SELECT * FROM users WHERE id = ?"")`; in Java: `PreparedStatement ps = conn.prepareStatement(""SELECT * FROM users WHERE id = ?""); ps.setInt(1, userId);` |
| **Employ stored procedures (with care)** | Keeps SQL logic on the database side; still requires parameterisation. | `CALL GetUserById(?, ?)` where the procedure validates parameters. |
| **Validate and whitelist input** | Accept only expected values (e.g., numeric IDs, email formats). Reject anything else. | `if (!preg_match('/^\d+$/', $id)) { throw new Exception('Invalid ID'); }` |
| **Apply the principle of least privilege** | Database accounts used by the app should have only the permissions they need. | A web‑app account that only reads from `users` table, not `DROP TABLE`. |
| **Use an ORM or query builder** | These frameworks automatically parameterise queries. | Laravel’s Eloquent, Hibernate, or Doctrine. |
| **Sanitise output, not input** | Escape data when rendering it back to the user (e.g., HTML‑escaping) to avoid XSS, not SQL injection. | `htmlspecialchars($output, ENT_QUOTES, 'UTF-8');` |
| **Deploy a Web Application Firewall (WAF)** | Detects and blocks common injection patterns. | ModSecurity rules for SQLi. |
| **Regular security testing** | Pen‑testing, static code analysis, and automated scans catch injection flaws early. | OWASP ZAP, Burp Suite, or SAST tools. |
| **Keep software up‑to‑date** | Patch database engines, libraries, and frameworks that may contain known injection fixes. | Update MySQL, PostgreSQL, or the web framework. |

**Bottom line:** The most effective defense is to **never concatenate user input into SQL strings**. Use parameterised queries or ORM abstractions, validate input against strict allowlists, run the database with minimal privileges, and supplement with WAFs and regular testing.",37.03,0.5,False,1
6,baseline,"The primary cause of account compromise is **weak authentication**—specifically, stolen or brute‑forced credentials. According to the 2022 Verizon DBIR, over 80 % of hacking‑related breaches involved attackers gaining access through compromised usernames and passwords.",49.2,1.0,False,1
7,baseline,"**How MFA cuts the risk of account compromise**

1. **Adds a second “proof” that the user is who they claim to be**  
   * A stolen or guessed password is no longer enough. The attacker must also possess or produce a second factor that is tied to the user’s device or a physical token.

2. **Breaks the “single‑point‑of‑failure” model**  
   * Passwords alone can be reused, phished, or leaked. MFA forces an attacker to break two independent security controls (e.g., something the user knows *and* something the user has or is).

3. **Raises the cost and complexity of remote attacks**  
   * **SMS OTP** – can be intercepted via SIM‑swap or SS7 attacks, so it’s the weakest second factor.  
   * **TOTP apps** – generate time‑based codes that refresh every 30 s; an attacker would need to capture the code in real time.  
   * **Push notifications** – require the user to approve a request on their device; attackers must trigger many requests to force a “fatigue” approval.  
   * **Hardware security keys (FIDO2/WebAuthn)** – perform a cryptographic challenge‑response that is bound to the site’s origin, making phishing and credential‑stuffing impossible.  
   * **Passkeys** – replace passwords entirely with public‑key cryptography stored on the user’s device, eliminating the need to transmit secrets.

4. **Blocks credential‑stuffing attacks**  
   * Even if an attacker has a valid username/password pair from a breach, the second factor will not validate, stopping automated login attempts across thousands of sites.

5. **Protects privileged accounts**  
   * For domain admins, root, or cloud IAM admins, MFA (ideally hardware keys or just‑in‑time PAM) is a mandatory control because these accounts are the highest‑value targets.

6. **Reduces the blast radius of compromised credentials**  
   * If a password is exposed, the attacker can only access the account if they also have the second factor. This limits the damage to a single account rather than a cascade of compromised services.

**Bottom line:**  
MFA turns a single, easily stolen credential into a multi‑layered barrier. By requiring evidence from distinct categories (something you know, have, or are), it forces attackers to overcome additional technical hurdles, dramatically lowering the likelihood that stolen or guessed passwords will lead to successful account compromise.",44.52,0.8125,False,1
8,baseline,"**Recommended authentication for privileged accounts**

| Layer | What to use | Why it’s the best choice |
|-------|-------------|--------------------------|
| **Primary factor** | **Hardware security key (FIDO2/WebAuthn)** – or the equivalent passkey stored on a device that is protected by a hardware key | • Generates a unique public‑private key pair per site, so the secret never leaves the device.<br>• Phishing‑resistant: the key will only sign challenges that originate from the legitimate domain.<br>• No password or OTP is transmitted, eliminating the risk of credential theft or replay. |
| **Secondary factor** | **Just‑in‑time privileged access (PAM)** – a workflow that grants the least‑privilege elevation only for the time needed, with approval and audit | • Limits the window an attacker can use a compromised credential.<br>• Provides an audit trail and automatic revocation. |
| **Session protection** | **Session recording / monitoring** (e.g., Microsoft Defender for Identity, CyberArk Session Manager) | • Detects lateral movement or misuse in real time.<br>• Enables forensic analysis if a privileged session is abused. |

**Bottom line:**  
For domain‑admin, root, or cloud‑IAM admin accounts, the NIST, CISA, and AD‑hardening guidance all converge on **using a hardware security key (FIDO2/WebAuthn or passkey) as the primary MFA factor, combined with a just‑in‑time privileged‑access workflow and session recording**. This combination delivers the strongest protection against credential theft, phishing, and lateral‑movement attacks.",50.6,1.0,False,1
9,baseline,"**TOTP apps vs. SMS OTP – the key differences**

| Feature | TOTP Apps (e.g., Google Authenticator, Authy, Microsoft Authenticator) | SMS OTP |
|---------|--------------------------------------------------------------------------|---------|
| **How the code is produced** | Generated locally on the device using a shared secret and the current time (RFC 6238). The code is refreshed every 30 seconds. | Sent over the cellular network as a text message to the user’s phone number. |
| **Transmission path** | No network transmission of the code; the app simply displays it. | The code travels through the carrier’s SMS infrastructure and can be intercepted or redirected. |
| **Security posture** | • Phishing‑resistant: the code is tied to the device and the specific site’s origin. <br>• Not vulnerable to SIM‑swap or SS7 attacks. | • Susceptible to SIM‑swap, SS7 protocol exploits, and malware that reads SMS. <br>• Can be intercepted by attackers who control the victim’s phone number. |
| **Reliability** | Works offline; no dependence on network connectivity. | Requires a working cellular connection; can fail on weak or no coverage. |
| **User experience** | Requires installing an authenticator app and scanning a QR code or entering a secret key during setup. | No app needed; the user simply receives a text message. |
| **Common attack vectors** | Real‑time phishing (attacker relays the code immediately). | SIM‑swap, SS7, SMS interception, malware. |
| **Regulatory stance** | Recommended by NIST SP 800‑63B as a strong second factor. | NIST recommends restricting SMS OTP for federal systems; considered a weaker second factor. |

**Bottom line:**  
TOTP apps generate the one‑time code locally on the device, making them immune to SIM‑swap and SMS‑based interception attacks, and they are considered a stronger MFA method. SMS OTP relies on the carrier’s messaging network, which is vulnerable to a range of attacks and is therefore viewed as a weaker, less secure second factor.",35.0,0.47368421052631576,False,0
10,baseline,"NIST recommends against mandatory password rotation because it tends to **drive users toward predictable, weak‑password habits** rather than improving security.  

Key points from the guidance:

| Reason | What it means for users and security |
|--------|---------------------------------------|
| **Predictable patterns** | When passwords must be changed on a fixed schedule (e.g., every 90 days), people often add a simple suffix or increment a number (e.g., “Password1”, “Password2”). This makes the password space far smaller and easier for attackers to guess or brute‑force. |
| **Reduced password quality** | Frequent forced changes can lead users to choose shorter, simpler passwords or reuse the same password across sites, increasing the risk of compromise. |
| **No real benefit for most accounts** | For many systems, the risk of credential compromise comes from phishing, credential stuffing, or data‑breach leaks, not from a static password that has simply “lived” too long. |
| **Operational overhead** | Mandatory rotation requires additional user support (password‑reset requests, help‑desk tickets) and can degrade user experience, which may lead to workarounds (e.g., writing passwords down). |
| **Focus on stronger controls** | NIST’s guidance shifts emphasis to longer, more complex passwords, breach‑detection mechanisms, and, most importantly, **multi‑factor authentication (MFA)**, which provides far greater protection against credential theft. |

In short, mandatory rotation is a **“one‑size‑fits‑all” rule that encourages weak, predictable passwords and adds operational friction, while modern security best practices (longer passwords, breach monitoring, MFA) provide more effective protection.**",50.03,1.0,False,1
