source_doc,question,answer
doc06.txt,What is the primary method by which ransomware enters an environment?,"Ransomware typically enters an environment through phishing emails containing malicious attachments or links, exploitation of unpatched vulnerabilities, compromised remote desktop protocol (RDP) credentials, or drive-by downloads from infected websites."
doc06.txt,Why do security agencies advise against paying ransoms?,"Payment does not guarantee decryption, funds criminal organisations, and can expose victims to sanctions violations if the attacker is a designated entity."
doc06.txt,What is the 3-2-1 rule for offline backups?,"Offline backups following the 3-2-1 rule (three copies, two media types, one offsite) are the most effective recovery mechanism."
doc06.txt,How does the RaaS model affect ransomware operations?,"The RaaS model has professionalised ransomware operations by dividing labour between developers and affiliates, lowering the technical barrier to entry and dramatically increasing attack frequency."
doc06.txt,What is the average recovery time for organisations after paying a ransom?,"Even after payment, recovery time averages 21 days due to remediation complexity."
doc07.txt,What is a characteristic of a Distributed Denial of Service (DDoS) attack that distinguishes it from a simple DoS attack?,"A DDoS attack uses networks of thousands to millions of infected machines, called botnets, making source-based blocking ineffective."
doc07.txt,What is an example of an amplification attack that exploits a protocol that returns much larger responses than the initial request?,"DNS amplification attacks, which can amplify traffic by a factor of 28-54x."
doc07.txt,Why are application layer (Layer 7) attacks difficult to distinguish from legitimate requests?,"These attacks can be effective with relatively low traffic volumes and often involve crafted queries that trigger expensive database operations, making them harder to distinguish from legitimate requests."
doc07.txt,What is the purpose of SYN cookies in mitigating DDoS attacks?,"SYN cookies replace stateful half-open connection tracking with a cryptographic cookie embedded in the TCP sequence number, eliminating the memory exhaustion vector."
doc07.txt,What is an example of a defence mechanism that can absorb volumetric attacks?,"Anycast diffusion, which spreads the attack load across many geographically distributed nodes."
doc08.txt,What is a man-in-the-middle (MitM) attack?,A man-in-the-middle (MitM) attack occurs when an adversary secretly intercepts and potentially alters communications between two parties who believe they are communicating directly with each other.
doc08.txt,How does ARP Spoofing work?,"ARP Spoofing involves an attacker broadcasting forged ARP replies that associate their MAC address with the IP of the default gateway or another host, redirecting packets intended for that host to the attacker, who forwards them on."
doc08.txt,What is the purpose of Certificate Pinning?,"Certificate Pinning embeds the expected server certificate or public key hash in the application, allowing it to reject any certificate not matching, even a validly signed one from a trusted CA."
doc08.txt,"Why are financial services, healthcare, and government sectors primary targets for MitM attacks?",These sectors are primary targets due to the sensitivity of transmitted data.
doc08.txt,What is the difference between HTTPS Interception via Certificate Attacks and BGP Hijacking?,"HTTPS Interception via Certificate Attacks involves an attacker with a valid certificate decrypting TLS traffic at a proxy, while BGP Hijacking involves falsely advertising more specific routes via BGP to divert internet traffic for large IP address blocks through an attacker-controlled autonomous system."
doc09.txt,What is a buffer overflow?,"A buffer overflow occurs when a program writes more data to a fixed-size memory buffer than it can hold, potentially corrupting data, crashing the application, or allowing an attacker to overwrite return addresses and redirect execution to malicious code."
